Class Confidence xmin ymin xmax ymax
0 0.84 331.66 375.31 365.10 436.40
0 0.82 330.67 242.70 367.42 306.99
0 0.79 200.94 376.09 235.09 437.75
0 0.79 467.23 237.53 503.94 302.07
0 0.74 199.90 246.74 236.16 311.69
0 0.73 467.20 374.96 501.25 434.71
0 0.64 199.94 509.31 238.37 575.04
0 0.54 329.47 512.11 366.26 576.89
0 0.52 90.44 498.13 122.02 568.03
